Q1_Please_enter_your_age,Q2_What_is_your_gender,Q3_How_satisfied_are_you_with_our_service,completion_time_sec
56,Male,2.0,102
19,Female,4.0,60
76,Prefer not to say,4.0,64
65,Female,,114
25,Male,4.0,51
87,Male,3.0,21
79,Other,4.0,62
79,Female,,99
28,Other,4.0,24
7,Prefer not to say,2.0,29
26,Other,5.0,5
57,Other,1.0,17
6,Other,3.0,33
34,Prefer not to say,2.0,110
42,Other,4.0,23
6,Male,2.0,86
68,Prefer not to say,4.0,77
64,Other,,106
25,Female,4.0,196
37,Female,3.0,113
80,Other,5.0,133
62,Female,3.0,44
26,Female,4.0,27
53,Prefer not to say,4.0,89
63,Prefer not to say,3.0,33
46,Male,4.0,84
64,Prefer not to say,4.0,80
84,Male,4.0,45
19,Other,3.0,103
66,Prefer not to say,5.0,37
66,Male,2.0,77
51,Prefer not to say,3.0,37
66,Other,4.0,42
55,Female,4.0,19
59,Female,1.0,45
68,Male,4.0,68
7,Prefer not to say,3.0,48
55,Female,5.0,56
11,Prefer not to say,3.0,90
25,Other,3.0,35
77,Other,,72
43,Male,5.0,137
22,Female,5.0,91
8,Female,5.0,53
64,Other,5.0,52
18,Other,4.0,10
13,Male,3.0,23
57,Male,4.0,163
6,Male,3.0,16
88,Male,1.0,40
64,Prefer not to say,4.0,36
75,Other,,14
48,Prefer not to say,,80
12,Male,4.0,250
51,Other,5.0,16
39,Female,,105
82,Male,1.0,64
85,Other,4.0,98
40,Female,,46
54,Prefer not to say,5.0,18
8,Male,5.0,20
6,Prefer not to say,3.0,52
10,Prefer not to say,3.0,58
58,Male,4.0,5
8,Other,3.0,42
58,Other,,40
67,Prefer not to say,4.0,87
22,Other,3.0,187
48,Male,4.0,30
38,Prefer not to say,4.0,17
78,Female,5.0,66
66,Prefer not to say,1.0,107
18,Male,3.0,75
52,Male,1.0,36
19,Other,4.0,22
76,Female,3.0,94
82,Male,3.0,31
66,Prefer not to say,4.0,24
44,Other,5.0,129
89,Prefer not to say,3.0,168
84,Male,4.0,164
86,Other,4.0,12
57,Male,1.0,36
28,Other,5.0,72
30,Male,3.0,7
64,Other,3.0,93
45,Male,4.0,43
33,Prefer not to say,4.0,25
19,Prefer not to say,3.0,121
49,Prefer not to say,4.0,86
69,Female,4.0,76
75,Female,,60
13,Other,5.0,30
5,Female,4.0,20
12,Female,4.0,96
67,Male,5.0,30
15,Female,3.0,50
85,Female,5.0,69
12,Female,3.0,125
39,Female,4.0,56
39,Other,4.0,53
37,Female,4.0,50
9,Other,4.0,12
45,Prefer not to say,5.0,118
32,Female,4.0,26
11,Prefer not to say,2.0,70
77,Male,4.0,29
76,Female,3.0,95
16,Male,4.0,24
38,Prefer not to say,2.0,34
37,Prefer not to say,3.0,25
52,Female,4.0,134
27,Female,4.0,50
66,Male,4.0,151
41,Other,4.0,61
48,Prefer not to say,4.0,157
39,Prefer not to say,3.0,35
69,Male,2.0,64
51,Other,,20
82,Male,3.0,122
7,Prefer not to say,4.0,63
5,Prefer not to say,5.0,45
9,Female,3.0,38
18,Other,5.0,10
31,Other,4.0,30
13,Female,5.0,221
83,Other,4.0,20
19,Male,2.0,45
46,Other,4.0,31
81,Prefer not to say,3.0,32
55,Male,4.0,45
67,Male,2.0,74
56,Prefer not to say,4.0,107
8,Female,3.0,34
27,Prefer not to say,3.0,46
19,Female,4.0,190
47,Female,5.0,27
33,Male,4.0,128
40,Other,3.0,60
17,Male,3.0,32
36,Prefer not to say,4.0,51
75,Other,,29
63,Male,4.0,68
32,Female,4.0,25
70,Female,5.0,86
46,Male,,91
49,Prefer not to say,4.0,73
66,Other,4.0,149
61,Male,5.0,24
10,Female,3.0,175
32,Female,1.0,120
32,Female,5.0,99
48,Prefer not to say,5.0,44
88,Other,5.0,247
34,Male,3.0,67
66,Other,4.0,63
79,Male,5.0,24
66,Prefer not to say,3.0,67
5,Male,5.0,31
31,Female,5.0,63
66,Female,4.0,134
81,Prefer not to say,5.0,72
7,Other,,42
74,Female,2.0,31
76,Male,3.0,66
31,Female,4.0,64
13,Male,5.0,48
66,Other,1.0,83
41,Female,4.0,41
55,Female,5.0,70
48,Male,5.0,100
28,Prefer not to say,5.0,177
83,Prefer not to say,2.0,57
63,Female,3.0,33
36,Other,2.0,16
56,Other,5.0,46
66,Prefer not to say,2.0,19
62,Female,1.0,42
56,Prefer not to say,1.0,24
16,Male,4.0,121
43,Other,4.0,95
6,Prefer not to say,3.0,88
7,Female,3.0,79
60,Prefer not to say,2.0,107
85,Female,4.0,25
63,Prefer not to say,4.0,57
6,Prefer not to say,4.0,78
6,Other,4.0,35
58,Prefer not to say,3.0,59
5,Male,5.0,11
23,Prefer not to say,3.0,81
6,Female,4.0,41
57,Female,4.0,58
48,Male,2.0,96
36,Male,4.0,99
74,Female,4.0,94
36,Prefer not to say,5.0,46
72,Male,4.0,33
59,Prefer not to say,2.0,14
79,Male,5.0,60
60,Prefer not to say,5.0,14
21,Male,4.0,65
42,Female,4.0,67
28,Prefer not to say,5.0,10
73,Male,3.0,124
74,Prefer not to say,4.0,55
15,Other,3.0,9
20,Other,5.0,18
77,Male,2.0,19
63,Other,4.0,76
74,Male,2.0,36
84,Male,5.0,71
7,Other,3.0,79
24,Female,4.0,119
63,Male,5.0,10
40,Male,4.0,36
23,Other,5.0,89
71,Prefer not to say,4.0,31
23,Other,4.0,94
24,Male,3.0,81
75,Prefer not to say,2.0,49
56,Prefer not to say,4.0,56
37,Other,5.0,60
44,Prefer not to say,5.0,65
43,Female,1.0,94
86,Female,3.0,23
5,Female,4.0,45
15,Male,3.0,14
61,Other,4.0,91
54,Other,5.0,18
27,Male,5.0,102
35,Male,3.0,66
46,Other,4.0,33
11,Male,4.0,55
20,Other,3.0,28
64,Prefer not to say,2.0,96
6,Prefer not to say,3.0,212
5,Prefer not to say,5.0,27
52,Other,5.0,55
16,Male,2.0,107
73,Male,5.0,15
41,Male,4.0,95
36,Male,4.0,27
13,Male,4.0,50
23,Male,4.0,65
52,Other,4.0,43
84,Female,4.0,63
7,Male,3.0,60
24,Other,5.0,13
28,Other,3.0,49
58,Other,5.0,21
37,Other,5.0,24
28,Male,4.0,93
79,Prefer not to say,4.0,238
76,Prefer not to say,5.0,80
40,Other,4.0,86
42,Female,5.0,36
88,Male,3.0,40
29,Female,3.0,67
22,Prefer not to say,2.0,72
86,Female,4.0,8
70,Other,5.0,44
58,Female,2.0,38
39,Male,4.0,16
84,Other,5.0,55
65,Male,4.0,19
45,Prefer not to say,4.0,143
37,Prefer not to say,5.0,14
72,Male,4.0,70
37,Female,5.0,19
18,Female,3.0,92
25,Male,1.0,38
52,Other,3.0,14
24,Male,5.0,39
12,Female,4.0,70
11,Prefer not to say,,53
71,Prefer not to say,5.0,68
21,Male,5.0,65
37,Female,4.0,134
52,Prefer not to say,4.0,33
80,Male,4.0,20
63,Female,3.0,14
26,Male,4.0,30
34,Prefer not to say,4.0,22
42,Female,3.0,38
55,Other,3.0,86
58,Prefer not to say,3.0,2
12,Other,5.0,103
31,Prefer not to say,4.0,67
31,Other,3.0,159
25,Other,4.0,188
34,Male,5.0,66
32,Male,4.0,13
68,Female,3.0,59
73,Male,3.0,38
65,Male,4.0,57
52,Female,3.0,23
23,Male,3.0,75
8,Prefer not to say,5.0,167
39,Other,4.0,57
68,Other,2.0,14
53,Male,5.0,24
21,Male,3.0,83
48,Female,4.0,81
34,Male,1.0,38
50,Prefer not to say,5.0,92
10,Other,5.0,44
41,Female,5.0,47
28,Female,4.0,136
50,Female,5.0,53
57,Male,2.0,39
64,Male,4.0,18
67,Male,3.0,25
89,Female,2.0,156
36,Female,3.0,21
37,Other,4.0,59
71,Other,3.0,19
22,Male,3.0,19
29,Male,3.0,50
58,Other,5.0,126
62,Prefer not to say,5.0,24
71,Other,2.0,59
50,Male,5.0,20
28,Male,5.0,38
36,Male,4.0,49
51,Male,3.0,76
27,Other,,107
70,Male,,92
31,Male,4.0,73
6,Other,5.0,57
21,Prefer not to say,2.0,246
37,Other,4.0,98
13,Male,4.0,49
47,Male,4.0,27
52,Female,4.0,49
43,Male,3.0,91
46,Prefer not to say,4.0,113
30,Male,4.0,38
54,Other,4.0,32
29,Male,2.0,37
28,Male,3.0,28
17,Female,2.0,21
64,Male,3.0,10
11,Male,,64
61,Other,2.0,123
40,Prefer not to say,4.0,21
49,Female,4.0,217
24,Prefer not to say,5.0,27
69,Prefer not to say,,37
12,Male,5.0,70
20,Female,4.0,41
18,Male,5.0,16
80,Male,2.0,35
19,Other,2.0,54
70,Male,3.0,107
36,Female,5.0,42
67,Female,2.0,12
55,Male,3.0,49
29,Female,5.0,22
62,Prefer not to say,4.0,69
67,Prefer not to say,1.0,43
66,Prefer not to say,3.0,25
26,Other,4.0,49
62,Prefer not to say,1.0,117
62,Prefer not to say,4.0,42
53,Female,5.0,11
56,Female,3.0,41
46,Prefer not to say,3.0,142
74,Male,2.0,109
19,Female,1.0,45
58,Other,5.0,76
64,Female,3.0,91
12,Other,1.0,23
57,Prefer not to say,4.0,19
64,Prefer not to say,3.0,60
9,Other,2.0,30
72,Other,4.0,128
10,Other,2.0,55
51,Female,2.0,48
59,Prefer not to say,4.0,90
44,Female,2.0,81
56,Male,4.0,57
20,Other,4.0,52
17,Male,3.0,64
34,Other,5.0,68
23,Other,3.0,69
21,Prefer not to say,5.0,42
67,Other,2.0,69
23,Female,5.0,66
62,Other,3.0,11
59,Other,4.0,19
66,Male,3.0,65
27,Prefer not to say,,296
13,Prefer not to say,4.0,42
16,Other,4.0,43
5,Male,2.0,85
62,Female,1.0,17
5,Female,5.0,18
38,Other,4.0,0
52,Other,2.0,5
5,Male,3.0,15
20,Prefer not to say,2.0,20
65,Male,3.0,35
68,Female,4.0,56
67,Other,4.0,94
73,Other,4.0,44
26,Male,4.0,13
71,Prefer not to say,3.0,38
80,Male,4.0,92
30,Prefer not to say,4.0,137
20,Prefer not to say,4.0,49
55,Female,4.0,99
